"X","sample_pair","group","beta_div_method","beta_div_value","time"
162,"24-32","Time 0","bray",0.862763037511436,0
163,"24-342","Time 0","bray",0.859332732191163,0
164,"24-348","Time 0","bray",0.832835820895522,0
165,"24-357","Time 0","bray",0.842288904396371,0
166,"24-365","Time 0","bray",0.84963768115942,0
167,"24-42","Time 0","bray",0.854419410745234,0
168,"24-48","Time 0","bray",0.89126559714795,0
169,"24-55","Time 0","bray",0.870236869207003,0
170,"24-63","Time 0","bray",0.857142857142857,0
171,"24-87","Time 0","bray",0.865461847389558,0
172,"246-264","Time 0","bray",0.89410348977136,0
173,"246-287","Time 0","bray",0.905555555555556,0
174,"246-297","Time 0","bray",0.975257731958763,0
175,"246-31","Time 0","bray",0.87363834422658,0
176,"246-32","Time 0","bray",0.871739130434783,0
177,"246-342","Time 0","bray",0.865384615384615,0
178,"246-348","Time 0","bray",0.87146529562982,0
179,"246-357","Time 0","bray",0.879365079365079,0
180,"246-365","Time 0","bray",0.886977886977887,0
181,"246-42","Time 0","bray",0.861365953109072,0
182,"246-48","Time 0","bray",0.896733403582719,0
183,"246-55","Time 0","bray",0.909553420011306,0
184,"246-63","Time 0","bray",0.892832289491997,0
185,"246-87","Time 0","bray",0.871202916160389,0
186,"264-287","Time 0","bray",0.901466275659824,0
187,"264-297","Time 0","bray",0.969230769230769,0
188,"264-31","Time 0","bray",0.880923450789793,0
189,"264-32","Time 0","bray",0.864242424242424,0
190,"264-342","Time 0","bray",0.883472057074911,0
191,"264-348","Time 0","bray",0.861940298507463,0
192,"264-357","Time 0","bray",0.857510729613734,0
193,"264-365","Time 0","bray",0.870103092783505,0
194,"264-42","Time 0","bray",0.920993227990971,0
195,"264-48","Time 0","bray",0.885245901639344,0
196,"264-55","Time 0","bray",0.905615292712067,0
197,"264-63","Time 0","bray",0.870342771982116,0
198,"264-87","Time 0","bray",0.870879120879121,0
199,"287-297","Time 0","bray",0.992641648270787,0
200,"287-31","Time 0","bray",0.857142857142857,0
201,"287-32","Time 0","bray",0.881828316610925,0
