"","sample_pair","group","beta_div_method","beta_div_value"
"139","200-63","Time 0","bray",0.855670103092783
"140","200-87","Time 0","bray",0.873655913978495
"141","205-24","Time 0","bray",0.825779870512066
"142","205-246","Time 0","bray",0.872870249017038
"143","205-264","Time 0","bray",0.858839972047519
"144","205-287","Time 0","bray",0.796666666666667
"145","205-297","Time 0","bray",0.988940092165899
"146","205-31","Time 0","bray",0.855072463768116
"147","205-32","Time 0","bray",0.851315789473684
"148","205-342","Time 0","bray",0.850260416666667
"149","205-348","Time 0","bray",0.807583474816072
"150","205-357","Time 0","bray",0.818279569892473
"151","205-365","Time 0","bray",0.845920303605313
"152","205-42","Time 0","bray",0.868437697659709
"153","205-48","Time 0","bray",0.859264041316979
"154","205-55","Time 0","bray",0.829463908822288
"155","205-63","Time 0","bray",0.781050564555719
"156","205-87","Time 0","bray",0.866479269149684
"157","24-246","Time 0","bray",0.876251137397634
"158","24-264","Time 0","bray",0.886454183266932
"159","24-287","Time 0","bray",0.877344145970603
"160","24-297","Time 0","bray",0.984802431610942
"161","24-31","Time 0","bray",0.888175985334555
"162","24-32","Time 0","bray",0.862763037511436
"163","24-342","Time 0","bray",0.859332732191163
"164","24-348","Time 0","bray",0.832835820895522
"165","24-357","Time 0","bray",0.842288904396371
"166","24-365","Time 0","bray",0.84963768115942
"167","24-42","Time 0","bray",0.854419410745234
"168","24-48","Time 0","bray",0.89126559714795
"169","24-55","Time 0","bray",0.870236869207003
"170","24-63","Time 0","bray",0.857142857142857
"171","24-87","Time 0","bray",0.865461847389558
"172","246-264","Time 0","bray",0.89410348977136
"173","246-287","Time 0","bray",0.905555555555556
"174","246-297","Time 0","bray",0.975257731958763
"175","246-31","Time 0","bray",0.87363834422658
"176","246-32","Time 0","bray",0.871739130434783
"177","246-342","Time 0","bray",0.865384615384615
"178","246-348","Time 0","bray",0.87146529562982
"179","246-357","Time 0","bray",0.879365079365079
"180","246-365","Time 0","bray",0.886977886977887
"181","246-42","Time 0","bray",0.861365953109072
"182","246-48","Time 0","bray",0.896733403582719
"183","246-55","Time 0","bray",0.909553420011306
"184","246-63","Time 0","bray",0.892832289491997
"185","246-87","Time 0","bray",0.871202916160389
"186","264-287","Time 0","bray",0.901466275659824
"187","264-297","Time 0","bray",0.969230769230769
"188","264-31","Time 0","bray",0.880923450789793
"189","264-32","Time 0","bray",0.864242424242424
"190","264-342","Time 0","bray",0.883472057074911
"191","264-348","Time 0","bray",0.861940298507463
"192","264-357","Time 0","bray",0.857510729613734
"193","264-365","Time 0","bray",0.870103092783505
"194","264-42","Time 0","bray",0.920993227990971
"195","264-48","Time 0","bray",0.885245901639344
"196","264-55","Time 0","bray",0.905615292712067
"197","264-63","Time 0","bray",0.870342771982116
"198","264-87","Time 0","bray",0.870879120879121
"199","287-297","Time 0","bray",0.992641648270787
"200","287-31","Time 0","bray",0.857142857142857
"201","287-32","Time 0","bray",0.881828316610925
"202","287-342","Time 0","bray",0.868508287292818
"203","287-348","Time 0","bray",0.837334639882411
"204","287-357","Time 0","bray",0.839737582005623
"205","287-365","Time 0","bray",0.836369886558955
"206","287-42","Time 0","bray",0.885714285714286
"207","287-48","Time 0","bray",0.877125617114646
"208","287-55","Time 0","bray",0.789632992811199
"209","287-63","Time 0","bray",0.832107312851579
"210","287-87","Time 0","bray",0.891573364761344
"211","297-31","Time 0","bray",0.970649895178197
"212","297-32","Time 0","bray",0.98329853862213
"213","297-342","Time 0","bray",0.983838383838384
"214","297-348","Time 0","bray",0.980716253443526
"215","297-357","Time 0","bray",0.978021978021978
"216","297-365","Time 0","bray",0.989962358845671
"217","297-42","Time 0","bray",0.981481481481482
"218","297-48","Time 0","bray",0.976377952755906
"219","297-55","Time 0","bray",0.987951807228916
"220","297-63","Time 0","bray",0.983935742971888
"221","297-87","Time 0","bray",0.973821989528796
