sample,original,bird,population,site,sex,timepoint,time,flock,serviceband,pair,control,mock
290,447,BIRD22,resident,Cloaca,female,Time 5,5,residentfemale,232167131,6,no,no
25,441,BIRD19,resident,Cloaca,male,Time 5,5,residentmale,232167130,6,no,no
205,121,BIRD26,resident,Cloaca,female,Time 0,0,residentfemale,232167161,7,no,no
198,47,BIRD17,resident,Cloaca,male,Time 0,0,residentmale,232167127,7,no,no
323,407,BIRD26,resident,Cloaca,female,Time 1,1,residentfemale,232167161,7,no,no
300,389,BIRD17,resident,Cloaca,male,Time 1,1,residentmale,232167127,7,no,no
242,189,BIRD26,resident,Cloaca,female,Time 2,2,residentfemale,232167161,7,no,no
286,161,BIRD17,resident,Cloaca,male,Time 2,2,residentmale,232167127,7,no,no
99,221,BIRD26,resident,Cloaca,female,Time 3,3,residentfemale,232167161,7,no,no
374,219,BIRD17,resident,Cloaca,male,Time 3,3,residentmale,232167127,7,no,no
213,269,BIRD26,resident,Cloaca,female,Time 4,4,residentfemale,232167161,7,no,no
333,267,BIRD17,resident,Cloaca,male,Time 4,4,residentmale,232167127,7,no,no
151,455,BIRD26,resident,Cloaca,female,Time 5,5,residentfemale,232167161,7,no,no
388,437,BIRD17,resident,Cloaca,male,Time 5,5,residentmale,232167127,7,no,no
264,93,BIRD24,resident,Cloaca,female,Time 0,0,residentfemale,232167148,8,no,no
24,83,BIRD12,migratory,Cloaca,male,Time 0,0,migratorymale,232167143,8,no,no
279,401,BIRD24,resident,Cloaca,female,Time 1,1,residentfemale,232167148,8,no,no
101,419,BIRD12,migratory,Cloaca,male,Time 1,1,migratorymale,232167143,8,no,no
244,191,BIRD24,resident,Cloaca,female,Time 2,2,residentfemale,232167148,8,no,no
105,155,BIRD12,migratory,Cloaca,male,Time 2,2,migratorymale,232167143,8,no,no
29,225,BIRD24,resident,Cloaca,female,Time 3,3,residentfemale,232167148,8,no,no
170,223,BIRD12,migratory,Cloaca,male,Time 3,3,migratorymale,232167143,8,no,no
249,273,BIRD24,resident,Cloaca,female,Time 4,4,residentfemale,232167148,8,no,no
202,271,BIRD12,migratory,Cloaca,male,Time 4,4,migratorymale,232167143,8,no,no
86,451,BIRD24,resident,Cloaca,female,Time 5,5,residentfemale,232167148,8,no,no
40,467,BIRD12,migratory,Cloaca,male,Time 5,5,migratorymale,232167143,8,no,no
31,19,BIRD03,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167119,9,no,no
173,41,BIRD16,resident,Cloaca,male,Time 0,0,residentmale,232167125,9,no,no
358,377,BIRD03,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167119,9,no,no
295,387,BIRD16,resident,Cloaca,male,Time 1,1,residentmale,232167125,9,no,no
111,181,BIRD03,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167119,9,no,no
146,165,BIRD16,resident,Cloaca,male,Time 2,2,residentmale,232167125,9,no,no
185,229,BIRD03,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167119,9,no,no
143,227,BIRD16,resident,Cloaca,male,Time 3,3,residentmale,232167125,9,no,no
9,277,BIRD03,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167119,9,no,no
311,275,BIRD16,resident,Cloaca,male,Time 4,4,residentmale,232167125,9,no,no
378,425,BIRD03,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167119,9,no,no
367,435,BIRD16,resident,Cloaca,male,Time 5,5,residentmale,232167125,9,no,no
55,13,BIRD01,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167117,10,no,no
297,65,BIRD10,migratory,Cloaca,male,Time 0,0,migratorymale,232167135,10,no,no
23,373,BIRD01,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167117,10,no,no
291,415,BIRD10,migratory,Cloaca,male,Time 1,1,migratorymale,232167135,10,no,no
134,173,BIRD01,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167117,10,no,no
340,153,BIRD10,migratory,Cloaca,male,Time 2,2,migratorymale,232167135,10,no,no
76,233,BIRD01,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167117,10,no,no
316,231,BIRD10,migratory,Cloaca,male,Time 3,3,migratorymale,232167135,10,no,no
276,281,BIRD01,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167117,10,no,no
194,279,BIRD10,migratory,Cloaca,male,Time 4,4,migratorymale,232167135,10,no,no
334,421,BIRD01,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167117,10,no,no
33,463,BIRD10,migratory,Cloaca,male,Time 5,5,migratorymale,232167135,10,no,no
63,111,BIRD25,resident,Cloaca,female,Time 0,0,residentfemale,232167157,11,no,no
42,49,BIRD18,resident,Cloaca,male,Time 0,0,residentmale,232167128,11,no,no
269,405,BIRD25,resident,Cloaca,female,Time 1,1,residentfemale,232167157,11,no,no
263,391,BIRD18,resident,Cloaca,male,Time 1,1,residentmale,232167128,11,no,no
235,193,BIRD25,resident,Cloaca,female,Time 2,2,residentfemale,232167157,11,no,no
275,169,BIRD18,resident,Cloaca,male,Time 2,2,residentmale,232167128,11,no,no
285,237,BIRD25,resident,Cloaca,female,Time 3,3,residentfemale,232167157,11,no,no
272,235,BIRD18,resident,Cloaca,male,Time 3,3,residentmale,232167128,11,no,no
138,285,BIRD25,resident,Cloaca,female,Time 4,4,residentfemale,232167157,11,no,no
175,283,BIRD18,resident,Cloaca,male,Time 4,4,residentmale,232167128,11,no,no
387,453,BIRD25,resident,Cloaca,female,Time 5,5,residentfemale,232167157,11,no,no
310,439,BIRD18,resident,Cloaca,male,Time 5,5,residentmale,232167128,11,no,no
200,16,BIRD02,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167118,12,no,no
87,25,BIRD09,migratory,Cloaca,male,Time 0,0,migratorymale,232167121,12,no,no
243,375,BIRD02,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167118,12,no,no
130,413,BIRD09,migratory,Cloaca,male,Time 1,1,migratorymale,232167121,12,no,no
218,175,BIRD02,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167118,12,no,no
341,151,BIRD09,migratory,Cloaca,male,Time 2,2,migratorymale,232167121,12,no,no
52,241,BIRD02,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167118,12,no,no
62,239,BIRD09,migratory,Cloaca,male,Time 3,3,migratorymale,232167121,12,no,no
92,289,BIRD02,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167118,12,no,no
65,287,BIRD09,migratory,Cloaca,male,Time 4,4,migratorymale,232167121,12,no,no
239,423,BIRD02,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167118,12,no,no
248,461,BIRD09,migratory,Cloaca,male,Time 5,5,migratorymale,232167121,12,no,no
Blk1,,,,,,,,,,,yes,no
Blk2,,,,,,,,,,,yes,no
Blk3,,,,,,,,,,,yes,no
Blk4,,,,,,,,,,,yes,no
Blk5,,,,,,,,,,,yes,no
Blk6,,,,,,,,,,,yes,no
Blk7,,,,,,,,,,,yes,no
Blk8,,,,,,,,,,,yes,no
Blk9,,,,,,,,,,,yes,no
Blk10,,,,,,,,,,,yes,no
Blk11,,,,,,,,,,,yes,no
Blk12,,,,,,,,,,,yes,no
WaterNegA,,,,,,,,,,,yes,no
WaterNegB,,,,,,,,,,,yes,no
WaterNegC,,,,,,,,,,,yes,no
WaterNegD,,,,,,,,,,,yes,no
