"Observed","Shannon","Simpson","sample"
458,6.12686918411418,0.997816593886463,"101"
152,5.02388052084628,0.993421052631579,"102"
573,6.35088571671482,0.99825479930192,"105"
457,6.12468339089415,0.99781181619256,"108"
646,6.47079950378255,0.998452012383901,"110"
303,5.71373280550934,0.996699669966997,"111"
337,5.8200829303524,0.997032640949555,"112"
468,6.14846829591759,0.997863247863248,"129"
483,6.18001665365262,0.997929606625259,"130"
228,5.42934562895441,0.995614035087719,"134"
180,5.19295685089021,0.994444444444444,"138"
225,5.41610040220444,0.995555555555556,"139"
509,6.2324480165506,0.99803536345776,"140"
440,6.08677472691226,0.997727272727273,"142"
157,5.05624580534831,0.993630573248408,"143"
666,6.5012896705404,0.998498498498498,"144"
333,5.80814248998044,0.996996996996997,"146"
255,5.54126354515845,0.996078431372549,"149"
127,4.84418708645859,0.992125984251969,"150"
229,5.43372200355423,0.995633187772926,"151"
647,6.472346294501,0.998454404945904,"157"
131,4.87519732320117,0.99236641221374,"16"
148,4.99721227376412,0.993243243243243,"160"
470,6.15273269470409,0.997872340425532,"161"
378,5.93489419561961,0.997354497354497,"167"
838,6.73101810048201,0.998806682577566,"170"
242,5.48893772615668,0.995867768595041,"171"
613,6.41836493593628,0.99836867862969,"173"
194,5.26785815906333,0.994845360824742,"175"
572,6.34913899137974,0.998251748251748,"177"
381,5.94279937512667,0.99737532808399,"178"
468,6.14846829591759,0.997863247863248,"185"
576,6.35610766069586,0.998263888888889,"19"
178,5.18178355029208,0.99438202247191,"192"
137,4.91998092582814,0.992700729927007,"193"
90,4.49980967033027,0.988888888888889,"194"
113,4.72738781871233,0.991150442477876,"195"
267,5.58724865840025,0.99625468164794,"197"
365,5.89989735358248,0.997260273972603,"198"
384,5.95064255258774,0.997395833333333,"200"
112,4.71849887129509,0.991071428571429,"201"
280,5.63478960316925,0.996428571428571,"202"
1063,6.96885037834207,0.999059266227658,"205"
101,4.61512051684126,0.99009900990099,"213"
266,5.58349630878171,0.996240601503759,"217"
466,6.1441856341257,0.997854077253219,"218"
168,5.12396397940325,0.994047619047619,"221"
254,5.53733426701852,0.996062992125984,"23"
391,5.96870755998537,0.997442455242967,"231"
473,6.15909538849188,0.997885835095137,"232"
54,3.98898404656428,0.981481481481482,"234"
958,6.8648477779709,0.998956158663883,"235"
164,5.0998664278242,0.99390243902439,"239"
636,6.4551985633402,0.998427672955975,"24"
221,5.39816270151773,0.995475113122172,"241"
1042,6.94889722231336,0.999040307101727,"242"
57,4.04305126783455,0.982456140350877,"243"
422,6.04500531403597,0.997630331753555,"244"
463,6.13772705408616,0.997840172786177,"246"
702,6.55393340402572,0.998575498575499,"247"
370,5.91350300563823,0.997297297297297,"248"
362,5.8916442118258,0.997237569060773,"249"
273,5.60947179518495,0.996336996336996,"25"
356,5.87493073085205,0.997191011235955,"250"
