,Observed,Shannon,Simpson,bird,population,site,sex,timepoint,time,flock,serviceband,pair
X246,463,6.137727054,0.997840173,BIRD22,resident,Cloaca,female,Time 0,0,residentfemale,232167131,6
X247,702,6.553933404,0.998575499,BIRD08,migratory,Cloaca,male,Time 4,4,migratorymale,232167120,1
X248,370,5.913503006,0.997297297,BIRD09,migratory,Cloaca,male,Time 5,5,migratorymale,232167121,12
X249,362,5.891644212,0.997237569,BIRD24,resident,Cloaca,female,Time 4,4,residentfemale,232167148,8
X25,273,5.609471795,0.996336996,BIRD19,resident,Cloaca,male,Time 5,5,residentmale,232167130,6
X250,356,5.874930731,0.997191011,BIRD20,resident,Cloaca,male,Time 2,2,residentmale,232167193,2
X253,400,5.991464547,0.9975,BIRD21,resident,Cloaca,female,Time 5,5,residentfemale,232167129,2
X257,201,5.303304908,0.995024876,BIRD06,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167137,3
X258,123,4.812184355,0.991869919,BIRD11,migratory,Cloaca,male,Time 4,4,migratorymale,232167136,5
X263,85,4.442651256,0.988235294,BIRD18,resident,Cloaca,male,Time 1,1,residentmale,232167128,11
X264,368,5.908082938,0.997282609,BIRD24,resident,Cloaca,female,Time 0,0,residentfemale,232167148,8
X266,508,6.230481448,0.998031496,BIRD19,resident,Cloaca,male,Time 3,3,residentmale,232167130,6
X269,314,5.749392986,0.996815287,BIRD25,resident,Cloaca,female,Time 1,1,residentfemale,232167157,11
X27,579,6.361302478,0.998272884,BIRD06,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167137,3
X272,163,5.093750201,0.993865031,BIRD18,resident,Cloaca,male,Time 3,3,residentmale,232167128,11
X275,212,5.356586275,0.995283019,BIRD18,resident,Cloaca,male,Time 2,2,residentmale,232167128,11
X276,153,5.030437921,0.993464052,BIRD01,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167117,10
X279,301,5.707110265,0.996677741,BIRD24,resident,Cloaca,female,Time 1,1,residentfemale,232167148,8
X285,1196,7.086737935,0.99916388,BIRD25,resident,Cloaca,female,Time 3,3,residentfemale,232167157,11
X286,890,6.791221463,0.998876404,BIRD17,resident,Cloaca,male,Time 2,2,residentmale,232167127,7
X287,1337,7.198183577,0.999252057,BIRD07,migratory,Cloaca,male,Time 0,0,migratorymale,231115833,3
X29,404,6.001414878,0.997524752,BIRD24,resident,Cloaca,female,Time 3,3,residentfemale,232167148,8
X290,224,5.411646052,0.995535714,BIRD22,resident,Cloaca,female,Time 5,5,residentfemale,232167131,6
X291,49,3.891820298,0.979591837,BIRD10,migratory,Cloaca,male,Time 1,1,migratorymale,232167135,10
X295,17,2.833213344,0.941176471,BIRD16,resident,Cloaca,male,Time 1,1,residentmale,232167125,9
X297,22,3.091042453,0.954545455,BIRD10,migratory,Cloaca,male,Time 0,0,migratorymale,232167135,10
X300,300,5.703782475,0.996666667,BIRD17,resident,Cloaca,male,Time 1,1,residentmale,232167127,7
X303,175,5.164785974,0.994285714,BIRD05,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167133,5
X31,455,6.120297419,0.997802198,BIRD03,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167119,9
X310,129,4.859812404,0.992248062,BIRD18,resident,Cloaca,male,Time 5,5,residentmale,232167128,11
X311,483,6.180016654,0.997929607,BIRD16,resident,Cloaca,male,Time 4,4,residentmale,232167125,9
X312,215,5.370638028,0.995348837,BIRD04,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167132,4
X316,431,6.06610809,0.997679814,BIRD10,migratory,Cloaca,male,Time 3,3,migratorymale,232167135,10
X318,298,5.697093487,0.996644295,BIRD21,resident,Cloaca,female,Time 1,1,residentfemale,232167129,2
X32,457,6.124683391,0.997811816,BIRD06,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167137,3
X323,102,4.624972813,0.990196078,BIRD26,resident,Cloaca,female,Time 1,1,residentfemale,232167161,7
X328,117,4.762173935,0.991452991,BIRD07,migratory,Cloaca,male,Time 5,5,migratorymale,231115833,3
X33,415,6.02827852,0.997590361,BIRD10,migratory,Cloaca,male,Time 5,5,migratorymale,232167135,10
X333,865,6.762729507,0.998843931,BIRD17,resident,Cloaca,male,Time 4,4,residentmale,232167127,7
X334,219,5.38907173,0.99543379,BIRD01,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167117,10
X338,148,4.997212274,0.993243243,BIRD06,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167137,3
X340,916,6.820016365,0.998908297,BIRD10,migratory,Cloaca,male,Time 2,2,migratorymale,232167135,10
X341,437,6.079933195,0.99771167,BIRD09,migratory,Cloaca,male,Time 2,2,migratorymale,232167121,12
X342,473,6.159095388,0.997885835,BIRD20,resident,Cloaca,male,Time 0,0,residentmale,232167193,2
X343,333,5.80814249,0.996996997,BIRD11,migratory,Cloaca,male,Time 1,1,migratorymale,232167136,5
X345,170,5.135798437,0.994117647,BIRD19,resident,Cloaca,male,Time 4,4,residentmale,232167130,6
X348,704,6.556778356,0.998579545,BIRD19,resident,Cloaca,male,Time 0,0,residentmale,232167130,6
X353,435,6.075346031,0.997701149,BIRD15,resident,Cloaca,male,Time 3,3,residentmale,232167124,4
X357,797,6.680854679,0.998745295,BIRD05,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167133,5
X358,153,5.030437921,0.993464052,BIRD03,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167119,9
X359,150,5.010635294,0.993333333,BIRD04,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167132,4
X36,1017,6.924612396,0.999016716,BIRD07,migratory,Cloaca,male,Time 2,2,migratorymale,231115833,3
X365,1572,7.360103973,0.999363868,BIRD23,resident,Cloaca,female,Time 0,0,residentfemale,232167147,
X367,459,6.12905021,0.997821351,BIRD16,resident,Cloaca,male,Time 5,5,residentmale,232167125,
X369,240,5.480638923,0.995833333,BIRD04,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167132,
X37,172,5.147494477,0.994186047,BIRD23,resident,Cloaca,female,Time 2,2,residentfemale,232167147,1
X374,603,6.401917197,0.998341625,BIRD17,resident,Cloaca,male,Time 3,3,residentmale,232167127,7
X376,826,6.716594774,0.998789346,BIRD08,migratory,Cloaca,male,Time 3,3,migratorymale,232167120,1
X378,196,5.278114659,0.994897959,BIRD03,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167119,9
X38,277,5.624017506,0.996389892,BIRD23,resident,Cloaca,female,Time 3,3,residentfemale,232167147,1
X387,292,5.676753802,0.996575342,BIRD25,resident,Cloaca,female,Time 5,5,residentfemale,232167157,11
X388,388,5.96100534,0.99742268,BIRD17,resident,Cloaca,male,Time 5,5,residentmale,232167127,7
