"sample","original","bird","population","site","sex","timepoint","time","flock","serviceband","pair","control","mock","Observed","Shannon","Simpson"
"23",373,"BIRD01","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167117,10,"no","no",254,5.53733426701852,0.996062992125984
"231",465,"BIRD11","migratory","Cloaca","male","Time 5",5,"migratorymale",232167136,5,"no","no",391,5.96870755998537,0.997442455242967
"232",157,"BIRD11","migratory","Cloaca","male","Time 2",2,"migratorymale",232167136,5,"no","no",473,6.15909538849188,0.997885835095137
"234",247,"BIRD20","resident","Cloaca","male","Time 4",4,"residentmale",232167193,2,"no","no",54,3.98898404656428,0.981481481481482
"235",193,"BIRD25","resident","Cloaca","female","Time 2",2,"residentfemale",232167157,11,"no","no",958,6.8648477779709,0.998956158663883
"239",423,"BIRD02","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167118,12,"no","no",164,5.0998664278242,0.99390243902439
"24",83,"BIRD12","migratory","Cloaca","male","Time 0",0,"migratorymale",232167143,8,"no","no",636,6.4551985633402,0.998427672955975
"241",403,"BIRD23","resident","Cloaca","female","Time 1",1,"residentfemale",232167147,1,"no","no",221,5.39816270151773,0.995475113122172
"242",189,"BIRD26","resident","Cloaca","female","Time 2",2,"residentfemale",232167161,7,"no","no",1042,6.94889722231336,0.999040307101727
"243",375,"BIRD02","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167118,12,"no","no",57,4.04305126783455,0.982456140350877
"244",191,"BIRD24","resident","Cloaca","female","Time 2",2,"residentfemale",232167148,8,"no","no",422,6.04500531403597,0.997630331753555
"246",57,"BIRD22","resident","Cloaca","female","Time 0",0,"residentfemale",232167131,6,"no","no",463,6.13772705408616,0.997840172786177
"247",243,"BIRD08","migratory","Cloaca","male","Time 4",4,"migratorymale",232167120,1,"no","no",702,6.55393340402572,0.998575498575499
"248",461,"BIRD09","migratory","Cloaca","male","Time 5",5,"migratorymale",232167121,12,"no","no",370,5.91350300563823,0.997297297297297
"249",273,"BIRD24","resident","Cloaca","female","Time 4",4,"residentfemale",232167148,8,"no","no",362,5.8916442118258,0.997237569060773
"25",441,"BIRD19","resident","Cloaca","male","Time 5",5,"residentmale",232167130,6,"no","no",273,5.60947179518495,0.996336996336996
"250",163,"BIRD20","resident","Cloaca","male","Time 2",2,"residentmale",232167193,2,"no","no",356,5.87493073085205,0.997191011235955
"253",445,"BIRD21","resident","Cloaca","female","Time 5",5,"residentfemale",232167129,2,"no","no",400,5.99146454710795,0.9975
"257",383,"BIRD06","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167137,3,"no","no",201,5.30330490805906,0.995024875621891
"258",259,"BIRD11","migratory","Cloaca","male","Time 4",4,"migratorymale",232167136,5,"no","no",123,4.81218435537242,0.991869918699187
"263",391,"BIRD18","resident","Cloaca","male","Time 1",1,"residentmale",232167128,11,"no","no",85,4.44265125649032,0.988235294117647
"264",93,"BIRD24","resident","Cloaca","female","Time 0",0,"residentfemale",232167148,8,"no","no",368,5.90808293816893,0.997282608695652
"266",215,"BIRD19","resident","Cloaca","male","Time 3",3,"residentmale",232167130,6,"no","no",508,6.23048144757852,0.998031496062992
"269",405,"BIRD25","resident","Cloaca","female","Time 1",1,"residentfemale",232167157,11,"no","no",314,5.74939298590821,0.996815286624204
"27",179,"BIRD06","migratory","Cloaca","female","Time 2",2,"migratoryfemale",232167137,3,"no","no",579,6.36130247757294,0.998272884283247
"272",235,"BIRD18","resident","Cloaca","male","Time 3",3,"residentmale",232167128,11,"no","no",163,5.09375020080678,0.993865030674847
"275",169,"BIRD18","resident","Cloaca","male","Time 2",2,"residentmale",232167128,11,"no","no",212,5.35658627467202,0.995283018867924
"276",281,"BIRD01","migratory","Cloaca","female","Time 4",4,"migratoryfemale",232167117,10,"no","no",153,5.03043792139243,0.993464052287582
